entityid,secteur,code,cepage,commune,date,sucres,acidite_totale,ph,indice,acide_tartrique,potasse,azote_amm
114c146b-3751-4b17-bacb-374bb7057183,Maconnais,DUF,Gamay,St.Amour,13-août-09,159,8,3,2,9,19,15
f6dbfddf-b98e-4546-9ee3-d7e508aa88bb,Maconnais,LEB,Gamay,St.Amour,13-août-09,153,8,4,2,89,18,21
f0bad395-3f2d-4f05-bae6-caa675bff152,Couchois,ES1,Pinot,St.Maurice-les-Couches,13-août-09,104,14,5,2,66,7,17
9655d7a4-4542-4c8d-b567-549c031f5c25,Couchois,ES2,Pinot,St.Sernin-du-Plain,13-août-09,93,17,9,2,6,5,19
fd27f8f3-2d60-4563-b14a-3fcc31865f78,Maranges,ES3,Pinot,Cheilly-les-Maranges,13-août-09,125,13,8,2,73,9,5
b58378c6-8489-4a3a-b340-236ae19068f4,Maranges,ES4,Pinot,Cheilly-les-Maranges,13-août-09,110,15,5,2,62,7,9
298a8a6a-4c14-40c8-b0ba-8259e9572efb,Maconnais,BRE,Chardonnay,Fuissé,17-août-09,125,12,38,2,84,10,9
aed926e8-19b2-4452-aab3-c030a3b359dc,Maconnais,BUR,Chardonnay,Fuissé,17-août-09,133,10,86,2,99,12,24
0a08255e-54c0-4524-9464-6d1a05852e48,Maconnais,FER,Chardonnay,Fuissé,17-août-09,133,10,85,2,9,12,25
2feb2c15-37f1-47b1-b238-9834282fba43,Maconnais,VIN,Chardonnay,Fuissé,17-août-09,154,8,98,2,9,17,14
51ccd580-c66f-4365-8704-0f830287191a,Maconnais,ADO,Gamay,St.Amour,17-août-09,177,9,12,2,94,19,4
2fe44d58-58f4-437b-ae48-18c8ea16c3ac,Maconnais,AUF,Gamay,St.Amour,17-août-09,186,7,96,3,2,23,36
824e06d1-ced3-405f-b6f8-45ace72a775f,Maconnais,DUF,Gamay,St.Amour,17-août-09,189,8,31,2,96,22,74
8d23e9c4-b6cc-4da8-a380-2de395e8294f,Maconnais,LEB,Gamay,St.Amour,17-août-09,175,8,68,2,92,20,16
4d3cc357-0f8c-4352-8c7f-d8fa82020095,Couchois,ES1,Pinot,St.Maurice-les-Couches,17-août-09,149,10,83,2,76,13,75
6c84be3c-b437-43bd-ba34-5422299b29e2,Couchois,ES2,Pinot,St.Sernin-du-Plain,17-août-09,127,14,19,2,7,8,94
4dd96f02-6904-4f0b-8385-4a9c0c4df8c2,Maranges,ES3,Pinot,Cheilly-les-Maranges,17-août-09,137,12,4,2,74,11,4
fd5a9d8a-ede0-4160-97e8-f564e61d8942,Maranges,ES4,Pinot,Cheilly-les-Maranges,17-août-09,134,12,52,2,7,10,7
1a6ca184-2747-4a34-b1b2-c284cb9dd7ec,Maconnais,BRE,Chardonnay,Fuissé,20-août-09,165,8,64,3,2,19,9
d937c31b-1feb-4339-b33d-6425a8209ce5,Maconnais,BUR,Chardonnay,Fuissé,20-août-09,150,8,32,3,16,18,2
a8464620-f7df-450f-917d-1ea277ea9e9d,Maconnais,FER,Chardonnay,Fuissé,20-août-09,163,8,34,3,5,19,54
18db0c19-8646-4091-b60c-cd61dee25686,Maconnais,VIN,Chardonnay,Fuissé,20-août-09,175,7,66,3,22,84,8
df953ed0-6169-4db3-873d-6c1e89d4b8c0,Maconnais,ADO,Gamay,St.Amour,20-août-09,197,7,75,3,3,25,41
8105b881-7b46-43fd-9c1c-92cc3358d2dc,Maconnais,AUF,Gamay,St.Amour,20-août-09,195,7,53,3,8,25,89
9f7778cb-1f7e-43d3-a479-95e91863d333,Maconnais,DUF,Gamay,St.Amour,20-août-09,206,7,51,3,6,27,43
c3fb7edf-dd94-449a-8303-9b88af5917a5,Maconnais,LEB,Gamay,St.Amour,20-août-09,195,7,53,3,5,25,89
